Ticker,Name,Sector,ISIN,SEDOL,ClientInternal
III LN,3i,Financial Services,GB00B1YW4409,B1YW440,EQ78BC40F66D864
ADM LN,Admiral Group,Nonlife Insurance,GB00B02J6398,B02J639,EQ18BCC14487A54
AAL LN,Anglo American plc,Mining,GB00B1XZS820,B1XZS82,EQ35A129739BDA4
ANTO LN,Antofagasta,Mining,GB0000456144,45614,EQ449F3834EACC4
AHT LN,Ashtead Group,Support Services,GB0000536739,53673,EQ03B68CD005474
ABF LN,Associated British Foods,Food Producers,GB0006731235,673123,EQFFC0B7B08C0C4
AZN LN,AstraZeneca,Pharmaceuticals & Biotechnology,GB0009895292,989529,EQ2C65243B51D54
AUTO LN,Auto Trader Group,Media,GB00BVYVFW23,BVYVFW2,EQ991C0C43D7BC4
AVST LN,Avast,Software & Computer Services,GB00BDD85M81,BDD85M8,EQ7ED4B6D87A604
AVV LN,Aveva,Software & Computer Services,GB00BBG9VN75,BBG9VN7,EQ7CB1C47587834
AV/ LN,Aviva,Life Insurance,GB0002162385,216238,EQEEE1E9651C8A4
BME LN,B&M,Retailers,LU1072616219,BMTRW10,EQ5E714A735E1D4
BA/ LN,BAE Systems,Aerospace & Defence,GB0002634946,263494,EQBFA2C7E0D4B34
BARC LN,Barclays,Banks,GB0031348658,3134865,EQD5AD91C016684
BDEV LN,Barratt Developments,Household Goods & Home Construction,GB0000811801,81180,EQDBA2F69F70064
BKG LN,Berkeley Group Holdings,Household Goods & Home Construction,GB00B02L3W35,B02L3W3,EQACB587A952454
BHP LN,BHP,Mining,GB00BH0P3Z91,BH0P3Z9,EQ4BE5C482A99F4
BP/ LN,BP,Oil & Gas Producers,GB0007980591,798059,EQ77FCE7E4310C4
BATS LN,British American Tobacco,Tobacco,GB0002875804,287580,EQA34140BE20D44
BLND LN,British Land,Real Estate Investment Trusts,GB0001367019,136701,EQ5197FD3ECFBC4
BT/A LN,BT Group,Fixed Line Telecommunications,GB0030913577,3091357,EQ7B988C36E34C4
BNZL LN,Bunzl,Support Services,GB00B0744B38,B0744B3,EQ24B242D280534
BRBY LN,Burberry,Personal Goods,GB0031743007,3174300,EQ1697D4D14C424
CCH LN,Coca-Cola HBC,Beverages,CH0198251305,B9895B7,EQ2095E42648084
CPG LN,Compass Group,Support Services,GB00BD6K4575,BD6K457,EQ017CD39DBA0B4
CRH LN,CRH plc,Construction & Materials,IE0001827041,182704,EQBB700576FE9C4
CRDA LN,Croda International,Chemicals,GB00BJFFLV09,BJFFLV0,EQCBD82F3C8AE54
DCC LN,DCC plc,Support Services,IE0002424939,242493,EQF2F24BDB59B94
DGE LN,Diageo,Beverages,GB0002374006,237400,EQBD6A272FD22A4
ENT LN,Entain,Travel & Leisure,IM00B5VQMV65,B5VQMV6,EQ9835CBB4B2A34
EVR LN,Evraz,Industrial Metals & Mining,GB00B71N6K86,B71N6K8,EQ9393407E0C574
EXPN LN,Experian,Support Services,GB00B19NLV48,B19NLV4,EQ8A8F4E9A7FFD4
FERG LN,Ferguson plc,Support Services,JE00BJVNSS43,BJVNSS4,EQ7334085BAEF34
FLTR LN,Flutter Entertainment,Travel & Leisure,IE00BWT6H894,BWXC0Z1,EQ84531C5EDCEE4
FRES LN,Fresnillo,Mining,GB00B2QPKJ12,B2QPKJ1,EQ2C5176ED56CB4
GSK LN,GlaxoSmithKline,Pharmaceuticals & Biotechnology,GB0009252882,925288,EQD0BEF8C373FF4
GLEN LN,Glencore,Mining,JE00B4T3BW64,B4T3BW6,EQ1724BCAEB4344
HLMA LN,Halma,Electronic & Electrical Equipment,GB0004052071,405207,EQCC6E223D60804
HL/ LN,Hargreaves Lansdown,Financial Services,GB00B1VZ0M25,B1VZ0M2,EQ74B43D75CE0D4
HIK LN,Hikma Pharmaceuticals,Pharmaceuticals & Biotechnology,GB00B0LCW083,B0LCW08,EQ1EF85712CA6F4
HSBA LN,HSBC,Banks,GB0005405286,540528,EQ9E4A2C0E838D4
IHG LN,IHG Hotels & Resorts,Travel & Leisure,GB00BHJYC057,BHJYC05,EQD2C59E5359F44
IMB LN,Imperial Brands,Tobacco,GB0004544929,454492,EQ0CD334A66C534
INF LN,Informa,Media,GB00BMJ6DW54,BMJ6DW5,EQ6AB8AFC7A1F44
ICP LN,Intermediate Capital Group,Investment Services,GB00BYT1DJ19,BYT1DJ1,EQ95FF1D8735884
IAG LN,International Airlines Group,Travel & Leisure,ES0177542018,B5M6XQ7,EQ9C973D1161714
ITRK LN,Intertek,Support Services,GB0031638363,3163836,EQ3E8138E06C7E4
JD/ LN,JD Sports,General Retailers,GB00BYX91H57,BYX91H5,EQD168C24EA7C54
JMAT LN,Johnson Matthey,Chemicals,GB00BZ4BQC70,BZ4BQC7,EQ84D6B36705594
JET LN,Just Eat Takeaway,Software & Computer Services,NL0012015705,BKM1QM4,EQ658AEBA8AED04
KGF LN,Kingfisher,Retailers,GB0033195214,3319521,EQ701E9605812F4
LAND LN,Land Securities,Real Estate Investment Trusts,GB00BYW0PQ60,BYW0PQ6,EQECE185A503B94
LGEN LN,Legal & General,Life Insurance,GB0005603997,560399,EQC72FAC0B5E234
LLOY LN,Lloyds Banking Group,Banks,GB0008706128,870612,EQ03B8F5DBB1DF4
LSEG LN,London Stock Exchange Group,Financial Services,GB00B0SWJX34,B0SWJX3,EQF98FB2BE18AE4
MNG LN,M&G,Asset Managers,GB00BKFB1C65,BKFB1C6,EQ5E8A13D639A64
MRO LN,Melrose Industries,Automobiles & Parts,GB00BZ1G4322,BZ1G432,EQ9976E66BF55F4
MNDI LN,Mondi,Forestry & Paper,GB00B1CRLC47,B1CRLC4,EQ96142A941D494
MRW LN,Morrisons,Food & Drug Retailers,GB0006043169,604316,EQ5C5CD425E1984
NG/ LN,National Grid plc,"Gas, Water & Multi-utilities",GB00BDR05C01,BDR05C0,EQA98A262394884
NWG LN,NatWest Group,Banks,GB00B7T77214,B7T7721,EQA0FC5E948AF94
NXT LN,Next plc,General Retailers,GB0032089863,3208986,EQ55F79C7C5D934
OCDO LN,Ocado Group,Food & Drug Retailers,GB00B3MBS747,B3MBS74,EQ14188FBD6D314
PSON LN,Pearson plc,Media,GB0006776081,677608,EQ3386D9BBFC794
PNN LN,Pennon Group,Water,GB00B18V8630,B18V863,EQ95C9126DA67B4
PSH LN,Pershing Square Holdings,Financial Services,GG00BPFJTF46,BS7JCJ8,EQ3818EAEC59EE4
PSN LN,Persimmon plc,Household Goods & Home Construction,GB0006825383,682538,EQ1829D9BEF8364
PHNX LN,Phoenix Group,Life Insurance,GB00BGXQNP29,BGXQNP2,EQF8539D9955044
POLY LN,Polymetal International,Precious Metals & Mining,JE00B6T5S470,B6T5S47,EQFA9A025C28FB4
PRU LN,Prudential plc,Life Insurance,GB0007099541,709954,EQ0C76B9AF62E34
RB/ LN,Reckitt Benckiser,Household Goods & Home Construction,GB00B24CGK77,B24CGK7,EQEF92E08767FB4
REL LN,RELX,Media,GB00B2B0DG97,B2B0DG9,EQ7B8592EC54594
RTO LN,Rentokil Initial,Support Services,GB00B082RF11,B082RF1,EQ7E55ABF894CB4
RMV LN,Rightmove,Media,GB00BGDT3G23,BGDT3G2,EQ7AB25CAB43924
RIO LN,Rio Tinto,Mining,GB0007188757,718875,EQ904EE321A0084
RR/ LN,Rolls-Royce Holdings,Aerospace & Defence,GB00B63H8491,B63H849,EQEFA0F1FFF5444
RDSA LN,Royal Dutch Shell,Oil & Gas Producers,GB00B03MLX29,B03MLX2,EQ418D3B0F4C604
RSA LN,RSA Insurance Group,Nonlife Insurance,GB00BKKMKR23,BKKMKR2,EQFC2E8357B9F24
SGE LN,Sage Group,Software & Computer Services,GB00B8C3BL03,B8C3BL0,EQ7434B39DC27E4
SBRY LN,Sainsbury's,Food & Drug Retailers,GB00B019KW72,B019KW7,EQ17EA6DA194474
SDR LN,Schroders,Financial Services,GB0002405495,240549,EQ7FB0E1A987A34
SMT LN,Scottish Mortgage Investment Trust,Equity Investment Instruments,GB00BLDYK618,BLDYK61,EQ1D3F96CBA18B4
SGRO LN,Segro,Real Estate Investment Trusts,GB00B5ZN1N88,B5ZN1N8,EQF56C03E51AE74
SVT LN,Severn Trent,"Gas, Water & Multi-utilities",GB00B1FH8J72,B1FH8J7,EQBC7E27EC68124
SMDS LN,DS Smith,General Industrials,GB0008220112,822011,EQA66E4E8443234
SMIN LN,Smiths Group,General Industrials,GB00B1WY2338,B1WY233,EQ1BE9267FE5F34
SN/ LN,Smith & Nephew,Health Care Equipment & Services,GB0009223206,922320,EQ5C75992C86E74
SKG LN,Smurfit Kappa,General Industrials,IE00B1RR8406,B1RR840,EQ8B206B51AD314
SPX LN,Spirax-Sarco Engineering,Industrial Engineering,GB00BWFGQN14,BWFGQN1,EQ9727FB4EDF5C4
SSE LN,SSE plc,Electricity,GB0007908733,790873,EQA976E8F30F5D4
