Ticker,Name,Sector,ISIN,SEDOL
III LN,3i,Financial Services,GB00B1YW4409,B1YW440
ADM LN,Admiral Group,Nonlife Insurance,GB00B02J6398,B02J639
AAL LN,Anglo American plc,Mining,GB00B1XZS820,B1XZS82
ANTO LN,Antofagasta,Mining,GB0000456144,45614
AHT LN,Ashtead Group,Support Services,GB0000536739,53673
ABF LN,Associated British Foods,Food Producers,GB0006731235,673123
AZN LN,AstraZeneca,Pharmaceuticals & Biotechnology,GB0009895292,989529
AUTO LN,Auto Trader Group,Media,GB00BVYVFW23,BVYVFW2
AVST LN,Avast,Software & Computer Services,GB00BDD85M81,BDD85M8
AVV LN,Aveva,Software & Computer Services,GB00BBG9VN75,BBG9VN7
AV/ LN,Aviva,Life Insurance,GB0002162385,216238
BME LN,B&M,Retailers,LU1072616219,BMTRW10
BA/ LN,BAE Systems,Aerospace & Defence,GB0002634946,263494
BARC LN,Barclays,Banks,GB0031348658,3134865
BDEV LN,Barratt Developments,Household Goods & Home Construction,GB0000811801,81180
BKG LN,Berkeley Group Holdings,Household Goods & Home Construction,GB00B02L3W35,B02L3W3
BHP LN,BHP,Mining,GB00BH0P3Z91,BH0P3Z9
BP/ LN,BP,Oil & Gas Producers,GB0007980591,798059
BATS LN,British American Tobacco,Tobacco,GB0002875804,287580
BLND LN,British Land,Real Estate Investment Trusts,GB0001367019,136701
BT/A LN,BT Group,Fixed Line Telecommunications,GB0030913577,3091357
BNZL LN,Bunzl,Support Services,GB00B0744B38,B0744B3
BRBY LN,Burberry,Personal Goods,GB0031743007,3174300
CCH LN,Coca-Cola HBC,Beverages,CH0198251305,B9895B7
CPG LN,Compass Group,Support Services,GB00BD6K4575,BD6K457
CRH LN,CRH plc,Construction & Materials,IE0001827041,182704
CRDA LN,Croda International,Chemicals,GB00BJFFLV09,BJFFLV0
DCC LN,DCC plc,Support Services,IE0002424939,242493
DGE LN,Diageo,Beverages,GB0002374006,237400
ENT LN,Entain,Travel & Leisure,IM00B5VQMV65,B5VQMV6
EVR LN,Evraz,Industrial Metals & Mining,GB00B71N6K86,B71N6K8
EXPN LN,Experian,Support Services,GB00B19NLV48,B19NLV4
FERG LN,Ferguson plc,Support Services,JE00BJVNSS43,BJVNSS4
FLTR LN,Flutter Entertainment,Travel & Leisure,IE00BWT6H894,BWXC0Z1
FRES LN,Fresnillo,Mining,GB00B2QPKJ12,B2QPKJ1
GSK LN,GlaxoSmithKline,Pharmaceuticals & Biotechnology,GB0009252882,925288
GLEN LN,Glencore,Mining,JE00B4T3BW64,B4T3BW6
HLMA LN,Halma,Electronic & Electrical Equipment,GB0004052071,405207
HL/ LN,Hargreaves Lansdown,Financial Services,GB00B1VZ0M25,B1VZ0M2
HIK LN,Hikma Pharmaceuticals,Pharmaceuticals & Biotechnology,GB00B0LCW083,B0LCW08
HSBA LN,HSBC,Banks,GB0005405286,540528
IHG LN,IHG Hotels & Resorts,Travel & Leisure,GB00BHJYC057,BHJYC05
IMB LN,Imperial Brands,Tobacco,GB0004544929,454492
INF LN,Informa,Media,GB00BMJ6DW54,BMJ6DW5
ICP LN,Intermediate Capital Group,Investment Services,GB00BYT1DJ19,BYT1DJ1
IAG LN,International Airlines Group,Travel & Leisure,ES0177542018,B5M6XQ7
ITRK LN,Intertek,Support Services,GB0031638363,3163836
JD/ LN,JD Sports,General Retailers,GB00BYX91H57,BYX91H5
JMAT LN,Johnson Matthey,Chemicals,GB00BZ4BQC70,BZ4BQC7
JET LN,Just Eat Takeaway,Software & Computer Services,NL0012015705,BKM1QM4
KGF LN,Kingfisher,Retailers,GB0033195214,3319521
LAND LN,Land Securities,Real Estate Investment Trusts,GB00BYW0PQ60,BYW0PQ6
LGEN LN,Legal & General,Life Insurance,GB0005603997,560399
LLOY LN,Lloyds Banking Group,Banks,GB0008706128,870612
LSEG LN,London Stock Exchange Group,Financial Services,GB00B0SWJX34,B0SWJX3
MNG LN,M&G,Asset Managers,GB00BKFB1C65,BKFB1C6
MRO LN,Melrose Industries,Automobiles & Parts,GB00BZ1G4322,BZ1G432
MNDI LN,Mondi,Forestry & Paper,GB00B1CRLC47,B1CRLC4
MRW LN,Morrisons,Food & Drug Retailers,GB0006043169,604316
NG/ LN,National Grid plc,"Gas, Water & Multi-utilities",GB00BDR05C01,BDR05C0
NWG LN,NatWest Group,Banks,GB00B7T77214,B7T7721
